Group,Category,Amount
Corporate Services,Assurance & Audit,2696399.79
Corporate Services,Communications & Media,1863256.77
Corporate Services,Contact Centres,864632.70
Corporate Services,Fleet Management,341968.76
Corporate Services,Information Management,2711118.08
Corporate Services,Legal Services,368208.93
Corporate Services,Parliamentary Services,4613543.94
Corporate Services,Property Services,3388744.04
Human Resources,Employee Relations,1455948.11
Human Resources,HR Policy & Advice,1739498.90
Human Resources,HR Reporting & Analysis,992739.14
Human Resources,HR Strategy & Planning,721160.67
Human Resources,Learning & Development,1174395.11
Human Resources,Pay & Conditions,1425241.75
Human Resources,Recruitment,1138120.23
Financial Services,Accounts Payable,967178.66
Financial Services,Accounts Receivable,553861.98
Financial Services,Asset Management,192947.13
Financial Services,Budgeting,3282567.51
Financial Services,Contract Management & Procurement,1807888.27
Financial Services,Credit Card Management,449906.83
Financial Services,Financial Policy & Advice,413977.65
Financial Services,Financial Reporting,2666507.52
Financial Services,Ledger Management,1234373.74
Financial Services,Taxation,190440.67
Financial Services,Travel,1137210.96
Financial Services,Treasury,288691.40
