CheckpointID,View,Level 1,Level 1 Code,Level 2,Level 2 Code,Level 3,Level 3 Code,Level 4,Level 4 Code,Amount
Current,4E,Org 99 - 2015-16,0,2015-16 FY,0,07-01-15,0,$,0,0
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Communications - Phones and Fax,510200,451.26
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Conferences,530100,"1,572.72"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Dom Travel - Accommodation Meals & Incidentals,502200,267.6
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Domestic Travel - Fares,502000,"2,465.27"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Employer Super Contributions,500200,"81,631.51"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Expenses Paid in Absence,555010,"6,429.01"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Fringe Benefit Tax,530000,-148.85
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Health Checks,530340,140
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Long Service Leave,500110,"21,516.09"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Meetings,530105,84.55
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,OHS & Medical,530330,"6,683.27"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Other Vehicle Costs,500530,5
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Recreation Leave,500100,"25,890.39"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Recruitment,507400,"2,750.25"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Salary/Wages,500000,"469,560.60"
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,TOIL Employee Expenses,500120,-116.76
Current,1,BES Executive,494477440,BES Executive,829643840,404110 - BES Executive,404110,Training - Core Skills,510500,"8,450.00"
Current,3,2015-16,54756760,Corporate Services,,Property Services,01.01.09.00,Property Services,01.01.09,"705,771.10"
Current,3,2015-16,54756760,Corporate Services,,Assurance & Audit,01.01.01.00,All Corporate Services Overheads,02.01.01,"250,228.00"
Current,3,2015-16,54756760,Corporate Services,,Assurance & Audit,01.01.01.00,Assurance & Audit,01.01.01,"1,706,127.00"
Current,3,2015-16,54756760,Corporate Services,,Communications & Media,01.01.02.00,All Corporate Services Overheads,02.01.01,"283,104.70"
Current,3,2015-16,54756760,Corporate Services,,Communications & Media,01.01.02.00,Communications & Media,01.01.02,"2,147,819.00"
Current,3,2015-16,54756760,Corporate Services,,Contact Centres,01.01.03.00,All Corporate Services Overheads,02.01.01,"250,684.60"
Current,3,2015-16,54756760,Corporate Services,,Contact Centres,01.01.03.00,Contact Centres,01.01.03,"1,146,787.00"
Current,3,2015-16,54756760,Corporate Services,,Fleet Management,01.01.04.00,All Corporate Services Overheads,02.01.01,"15,525.09"
Current,3,2015-16,54756760,Corporate Services,,Fleet Management,01.01.04.00,Fleet Management,01.01.04,"62,536.68"
Current,3,2015-16,54756760,Corporate Services,,Information Management,01.01.05.00,All Corporate Services Overheads,02.01.01,"220,547.70"
Current,3,2015-16,54756760,Corporate Services,,Information Management,01.01.05.00,Information Management,01.01.05,"874,396.80"
Current,3,2015-16,54756760,Corporate Services,,Legal Services,01.01.06.00,All Corporate Services Overheads,02.01.01,"381,278.10"
Current,3,2015-16,54756760,Corporate Services,,Legal Services,01.01.06.00,Legal Services,01.01.06,"1,859,074.00"
Current,3,2015-16,54756760,Corporate Services,,Other Corporate Services,01.01.07.00,All Corporate Services Overheads,02.01.01,"212,785.10"
Current,3,2015-16,54756760,Corporate Services,,Other Corporate Services,01.01.07.00,Other Corporate Services,01.01.07,"1,051,326.00"
Current,3,2015-16,54756760,Corporate Services,,Parliamentary Services,01.01.08.00,All Corporate Services Overheads,02.01.01,"305,479.10"
Current,3,2015-16,54756760,Corporate Services,,Parliamentary Services,01.01.08.00,Parliamentary Services,01.01.08,"1,476,358.00"
Current,3,2015-16,54756760,Corporate Services,,Property Services,01.01.09.00,All Corporate Services Overheads,02.01.01,"178,082.00"
Current,31,2015-16,54756760,Corporate Services,,Communications & Media,973983488,Consultants,,"2,939.82"
Current,31,2015-16,54756760,Corporate Services,,Communications & Media,973983488,Contractor Costs,,"71,963.71"
Current,31,2015-16,54756760,Corporate Services,,Communications & Media,973983488,Employee Costs,,"1,194,266.00"
